requirement,configuration
Configure Network Address Translation (NAT) for specific IP addresses and ranges.,"1. Create an access list for NAT, denying traffic from a specific host and permitting traffic from another specific host.
   - `ip access list extended nat-acl`
   - `deny ip host 10.10.10.10 host 10.77.64.17`
   - `permit ip host 10.10.10.10 host 10.77.64.17`

2. Define a NAT pool and associate it with the access list created in step 1.
   - `ip nat pool nat-pool <start-IP> <end-IP>` (not provided)

3. Create an additional access list for bypassing NAT, permitting traffic from the specific host.
   - `ip access list extended nat-bypass-acl`
   - `permit ip host 10.10.10.10 host 10.77.64.17`

4. Define a bypass pool and associate it with the access list created in step 3.
   - `ip nat pool bypass-pool <start-IP> <end-IP>` (not provided)

5. Update the existing NAT configuration to use the bypass pool with permit statements.
   - `ip nat inside source list nat-acl pool nat-pool`
   - `ip nat inside source list nat-bypass-acl pool bypass-pool`"
Configuring Dynamic Translation of Inside Source Addresses for the 192.168.1.0 and 192.168.2.0 networks to the globally unique 172.31.233.208/28 network using NAT.,"- ip nat pool net-208 172.31.233.208 172.31.233.223 prefix-length 9
- ip nat inside source list 1 pool net-208
- interface gigabitethernet 0/0/0
  - ip address 172.31.232.182 255.255.255.240
  - ip nat outside
- interface gigabitethernet 1/1/1
  - ip address 192.168.1.94 255.255.255.0
  - ip nat inside
- access-list 1 permit 192.168.1.0 0.0.0.255
- access-list 1 permit 192.168.2.0 0.0.0.255"
NAT configuration to allow internal users access to the internet through a pool of addresses (net-208).,"```
ip nat pool net-208 172.31.233.208 172.31.233.233 netmask 255.255.255.240
access-list 1 permit 192.168.1.0 0.0.0.255
ip nat inside source list 1 interface GigabitEthernet1/1/1 overload
```"
Configuring Dynamic Translation of Overlapping Networks,"- ip nat pool net-208 172.31.233.208 172.31.233.223 prefix-length 28
- ip nat pool net-10 10.0.1.0 10.0.1.255 prefix-length 24
- access-list 1 permit 10.114.11.0 0.0.0.255
- ip nat outside source list 1 pool net-10"
Enabling Network Address Translation (NAT) and configuring route maps for outside-to-inside translation with destination-based NAT.,"ip nat outside
!
ip nat inside source static 192.168.201.6 192.168.201.21
!
ip nat pool POOL-A 192.168.201.4 192.168.201.6 netmask 255.255.255.128
ip nat pool POOL-B 192.168.201.7 192.168.201.9 netmask 255.255.255.128
ip nat inside source route-map MAP-A pool POOL-A reversible
ip nat inside source route-map MAP-B pool POOL-B reversible
!
ip nat inside source static network 10.1.1.1 192.168.2510/24 no-payload
ip nat inside source static tcp 10.1.1.1 2000 192.168.1.1 2000 no-payload
ip nat inside source static 10.1.1.1 192.168.1.1 no-payload
ip nat outside source static 10.1.1. 192.168.1.1 no-payload
ip nat outside source static tcp 10.1.1.1 20000"
Configuring NAT Static IP Support,"1. Configure NAT Outside Source with static network:
   ip nat outside source static network 10.1.1.1 192.168.251.0/24 no-payload
   
2. Enable NAT Inside on the interface:
   interface gigabitethernet 1/1/1
   ip nat inside"
Configure the AAA server for WLAN-RADIUS and set up accounting for network access.,"aaa new-model
aaa group server radius WLAN-RADIUS
server 172.16.88.1 auth-port 1645 acct-port 1645
server 172.16.88.1 auth-port 1645 acct-port 1646
aaa accounting network WLAN-ACCT start-stop group WLAN-RADIUS
aaa session-id common
ip radius source-interface gigabitethernet3/0
radius-server host 172.31.88.1 auth-port 1645 acct-port 1646
radius-server key cisco"
Limit the maximum number of allowed NAT entries.,ip nat translation max-entries 300
Limit the number of NAT entries for different VRFs and ACLs.,"1. ip nat translation max-entries all-vrf 100 - This command limits the maximum number of NAT entries to 100 for all VRFs.
2. ip nat translation max-entries vrf vrf2 225 - This command limits the maximum number of NAT entries to 225 specifically for VRF ""vrf2"".
3. ip nat translation max-entries list vrf3 100 - This command limits the maximum number of NAT entries to 100 for an ACL named ""vrf3"".
4. ip nat translation max-entries host 10.0.0.1 300 - This command limits the maximum number of NAT entries to 300 for a specific IP address, 10.0.0.1."
Description of configuring an application-level gateway (ALG) with Network Address Translation (NAT) for various protocols.,The module provides information about the protocols that use ALGs for IP header translation and requires a variety of ALGs to handle application data stream (Layer 7) protocol-specific services such as translating embedded IP addresses and port numbers in the packet payload and extracting new connection/session.
Support for IPsec ESP Through NAT feature allowing multiple concurrent IPsec Encapsulating Security Payload (ESP) tunnels or connections through a NAT device configured in Overload or Port Address Translation (PAT) mode.,Use the ip nat service dns-v6 command to control processing of IPv6 DNS packets by ALG.
Verifying that SIP and H.323 are not disabled before performing tasks in a module.,SIP and H.323 are enabled by default.
"Secure tunnels between two peers, decisions on which packets are considered sensitive and should be sent through these secure tunnels, and specifying characteristics of these tunnels.",Enable IPsec packet processing using ESP with the ip nat service ipsec-esp enable command.
Configuring IPsec on a router with NAPT,"1. Encapsulate IPsec in a Layer 4 protocol such as TCP or UDP to sneak through NAT, making the NAT device unaware of the encapsulation.
2. Add IPsec-specific support to NAPT, allowing IPsec to work with NAT instead of sneaking through NAT. The NAT Support for IPsec ESP-- Phase II feature provides support for Internet Key Exchange (IKE) and ESP without encapsulation in tunnel mode through a Cisco IOS router configured with NAPT.
3. Recommended: Use TCP and UDP when conducting IPsec sessions that traverse a NAPT device, but be aware that not all VPN servers or clients support TCP or UDP."
NAT Support for SIP feature in Cisco routers,"Use ip nat service preserve-port command to preserve ports rather than changing them, and enable the NAT Support for SIP feature on Cisco routers."
SIP support on port 5060 by default and NAT Support of H.323 v2 RAS for all H.225 and H.245 message types.,Not provided in the text.
NAT needs to be able to detect the SCCP and understand the information passed within the messages in order to support communication between the IP phone and Cisco CallManager in a scalable environment. Messages should flow back and forth that include IP address and port information used to identify other IP phone users with which a call can be placed.,"1. DNS or static NAT should be configured for resolving Cisco CallManager IP address when it's on the inside (behind the NAT device).
2. NAT rules must be configured to match incoming connections from IP phones attempting to connect to Cisco CallManager.
3. NAT should translate the original source IP address and replace it with one from a configured pool for the communication between IP phone and Cisco CallManager, making the new address visible to other IP phone users."
"CallManager are configured on the same device, a colocated solution in Call Manager Express is used.",NAT Virtual Interface (NVI) is configured and Stateful Network Address Translation (SNAT) is enabled.
Configure IPsec ESP through NAT on a Cisco IOS NAT device configured in Overload or PAT mode.,"1. enable
2. configure terminal
3. ip nat [inside | outside] source static local-ip global-ip [vrf vrf-name]
4. exit
5. show ip nat translations"
Configure the IP NAT service list and access list for in2out and out2in traffic using IKE preserve-port.,Not provided in the text.
Enabling SPI Matching on the NAT Device for VPN connections between multiple pairs of destinations.,"Cisco IOS Release 12.2(15)T, enabling parallel processing on both the source router and remote gateway, configuring SPI matching on the NAT device and both endpoint devices using the command ""ip nat service list access-list-number ESP spi-match""."
Enable privileged EXEC mode and configure ESP traffic matching using access list numbers for SPI matching on Cisco devices.,"1. Enter your password if prompted.
2. Router> enable
3. enter global configuration mode.
4. configure terminal
5. Specify an access list to enable SPI matching.
6. ip nat service list access-list-number ESP spi-match
7. This example shows how to enter ESP traffic matching list 10 into the NAT table, making the assumption that both devices are Cisco devices and are configured to provide matchable SPIs."
Enable SPI Matching on Endpoints,crypto ipsec nat-transparency spi-matching
Support for multipart Session Description Protocol (SDP) in a SIP ALG,MultiPart SDP support for NAT is disabled by default.
Enable multipart SDP for NAT,ip nat service allow-multipart
Enabling privileged EXEC mode and configuring the skinny protocol on the specified TCP port using Application-Level Gateways with NAT.,"1. Enable privileged EXEC mode:
   - Enter your password if prompted.
   - Router> enable
2. Enter global configuration mode:
   - configure terminal
3. Configure the skinny protocol on the specified TCP port:
   - Router(config)# ip nat service skinny tcp port number"
"ALG-H.323 v6 Support, ALG-SCCP Version 17 Support, NAT ALG-SIP REFER method feature","- Cisco IOS XE Release 3.6S for ALG-H.323 v6 Support
- Cisco IOS XE Release 3.5S and 3.2S for ALG-SCCP Version 17 Support and NAT ALG-SIP REFER method feature"
"SIP Trunking Support using a local database to store media-related information within a SIP trunk, indexed by Call IDs.",Cisco IOS XE Release 3.2S (NAT ALG—SIP Trunking Support)
The NAT Support for IPsec ESP-- Phase II feature provides support for Internet Key Exchange (IKE) and ESP without encapsulation in tunnel mode through a device configured with NAPT.,Cisco IOS XE Release 2.1
"Multihoming with redundant or standby exit points, VPN routing and forwarding (VRF)-aware NAT, Carrier Grade NAT Support for Broadband Access Aggregation.","TCP timeout value of 2 hours and 4 minutes, CGN NAT scalability using the ip nat settings scale bind command."
Network Address Translation (NAT) inside configuration for PPPoE to work with CGN.,"1. Configure the ip nat inside command on the virtual template.
2. Configure the aaa policy interface-config allow-subinterface global command on the RADIUS server.
3. Configure the Cisco attribute-value pairs (AV pairs) lcp:allow-subinterface=yes and include lcp:interface-config=ip nat inside in the RADIUS profile on a per-subscriber basis."
Configuring Dynamic Carrier Grade NAT with a pool of registered IP addresses for dynamic address translation.,"1. Enable privileged EXEC mode by typing 'enable'.
2. Enter your password if prompted.
3. Enter global configuration mode by typing 'configure terminal'.
4. Set the NAT settings mode to CGN by typing 'ip nat settings mode cgn'.
5. Configure an access list for source addresses using 'access-list standard-access-list-number permit source wildcard'.
6. Repeat step 5 as needed for additional access lists.
7. Create a route map using 'route-map map-tag'.
8. Use the 'match ip address' command to specify the access list number in the route map.
9. Use the 'match ip next-hop' command to specify another access list number in the route map if needed.
10. Exit the route map configuration mode using 'exit'.
11. Define a NAT pool with 'ip nat pool name start-ip end-ip prefix-length prefix-length'.
12. Associate the NAT pool with an inside source using 'ip nat inside source route-map name pool name'.
13. Enter interface configuration mode for the inside interface by typing 'interface gigabitethernet card/spaslot/port.subinterface-number'.
14. Enable IP NAT on the inside interface by typing 'ip nat inside'.
15. Exit the interface configuration mode using 'exit'.
16. Enter interface configuration mode for the outside interface by typing 'interface type number'.
17. Enable IP NAT on the outside interface by typing 'ip nat outside'."
Enable CGN operating mode and define a standard access list with a host.,Device# configure terminal; ip nat settings mode cgn; access-list standard-access-list-number permit source; wildcard
"Define a standard access list and specify a host using the ""access-list"" command.",Device(config)# access-list 1 permit 10.1.1.0 0.0.0.255
"Configure Dynamic Port Address Carrier Grade NAT (PAT) on a device to map multiple unregistered IP addresses to a single registered IP address using different ports, allowing thousands of users to connect to the Internet with only one real global IP address.","1. enable
2. configure terminal
3. ip nat settings mode cgn
4. ip nat inside source list number"
Enters global configuration mode.,configure terminal
Configure access list and interface settings for NAT inside network.,access-list 1 permit 172.16.0.0 255.255.0.0; interface gigabitethernet card/spaslot/port.subinterface-number; ip nat inside
Enable and configure NAT outside interface on a device,Device(config)# interface gigabitethernet 0/0/2; Device(config-if)# ip nat outside
Configuring Dynamic Port Address Carrier Grade NAT,"1. Configure the NAT settings mode to CGN (Device# configure terminal, Device(config)# ip nat settings mode cgn).
2. Define an inside source list and create a pool named ""nat-pool"" (Device(config)# ip nat inside source list 1 pool nat-pool overload).
3. Specify the IP addresses for the NAT pool range (Device(config)# ip nat pool nat-pool 10.1.1.1 10.1.254.254 netmask 255.255.0.0).
4. Create an access list to permit a specific network range (Device(config)# access-list 1 permit 172.16.0.0 255.255.0.0).
5. Set the interface gigabitethernet 0/0/4 as NAT inside (Device(config)# interface gigabitethernet 0/0/4, Device(config-if)# ip nat inside).
6. Set the interface gigabitethernet 0/0/3 as NAT outside (Device(config)# interface gigabitethernet 0/0/3, Device(config-if)# ip nat outside).
7. Exit the configuration mode (Device(config-if)# exit, Device(config)# exit)."
Carrier Grade Network Address Translation (CGN) for large-scale NAT to translate private IPv4 addresses into public IPv4 addresses.,Not provided in the text.
Multiple private IPv4 addresses into fewer public IPv4 addresses,ip nat settings mode and ip nat settings support mapping outside. This feature is not supported on ISR 4000 platform.
"The requirement is related to ARP (Address Resolution Protocol) and its usage in determining media addresses, storing associations in an ARP cache, encapsulating IP datagrams, and handling gratuitous ARP requests.","The configuration involves the use of Subnetwork Access Protocol (SNAP), Hot Standby Router Protocol (HSRP), and Ethernet switches for handling ARP requests and managing virtual MAC addresses in the network."
Flow to the new router instead of the one that is no longer active,End devices do not actually need gratuitous ARP if routers use the default HSRP MAC address.
Enable IP NAT inside source static with redundancy HSRP1.,"Requirement: Enable IP NAT inside source static with redundancy HSRP1.
Configuration: Device(config)# ip nat inside source static 192.168.5.33 10.10.10.5"
"Implement a static configuration in an HSRP environment where two devices act as HSRP active and standby, with the NAT outside interfaces enabled and configured to belong to group HSRP1.","- Interface: BVI10
  - IP Address: 192.168.5.54/255.255.255.255.0
  - No IP redirects
  - IP NAT outside
- Standby Configuration:
  - Priority: 105
  - Preempt: Enabled
  - Name: HSRP1
  - IP Address: 192.168.5.30
  - Track: gigabitethernet1/1/1
- Default Gateway: 10.0.18.126
- Static NAT Mapping:
  - Inside Source: 192.168.5.33
  - Translated Address: 10.10.10.5
  - Redundancy: HSRP1 (HSRP1 group)
- IP Classless"
- Configure IP routing for networks 10.10.10.0 and 172.22.33.0 on gigabitethernet1/1/1 interface,"- ip route 10.10.10.0 255.255.255.0 gigabitethernet1/1/1
- ip route 172.22.33.0 255.255.255.0 gigabitethernet1/1/1
- Standby 10 priority 100 preempt
- Standby 10 name HSRP1
- Standby 10 ip 192.168.5.30
- Standby 10 track gigabitethernet0/0/1
- ip nat inside source static 192.168.5.33 3.3.3.5 redundancy HSRP1"
Static mapping support for HSRP to allow only the HSRP active router to respond to an incoming ARP for a router configured with a NAT address.,Cisco IOS XE Release 2.1 - NAT-Static Mapping Support with HSRP for High Availability
VRF-Aware Dynamic NAT Mapping with HSRP,"stateless redundancy using HSRP with dynamic Network Address Translation (NAT), Port Address Translation (PAT), and interface overload configuration. Dynamic NAT, PAT and interface overload support HSRP with and without virtual routing and forwarding (VRF) instances in Carrier Grade NAT (CGN) mode."
VRF-Aware Dynamic NAT Mapping with HSRP,"1. Both the active and standby devices must be configured with the same Network Address Translation (NAT) rules.
2. Hot Standby Router Protocol (HSRP) must be configured between the active and standby devices."
"VRF-Aware Dynamic NAT Mapping with HSRP feature supports stateless redundancy using HSRP with dynamic Network Address Translation (NAT), Port Address Translation (PAT), and interface overload configuration. This feature is supported in the Carrier Grade NAT (CGN) mode.",HSRP provides high network availability by providing first-hop routing redundancy for IP hosts on networks configured with a default gateway IP address. HSRP is used in a group of routers for selecting an active device and a standby device.
"Standby device functionality, HSRP (Hot Standby Routing Protocol), ARP request for MAC address change notification, VRF-aware NAT translation and CGN mode support, LAN-LAN and LAN-WAN topologies.",Both active and standby devices must be configured with the same NAT rules and HSRP enabled on both devices. The priority configuration determines which device is active or standby based on the assigned priority.
VRF-Aware Dynamic NAT Mapping with HSRP,"The local data link address, which is contained in the data link layer (Layer 2 of the OSI model) part of the packet header and read by data-link devices such as bridges, all device interfaces and so on."
Address resolution in Cisco IOS software for Ethernet communication using MAC or local data-link addresses,"ARP (Address Resolution Protocol), proxy ARP, Probe (for IEEE-802.3 networks), and Reverse Address Resolution Protocol (RARP)"
Configure HSRP for VRF-Aware Dynamic NAT mapping.,"1. enable
2. configure terminal
3. track object-number interface type number {ip | ipv6 | line-protocol}
4. exit
5. interface type number
6. ip nat inside
7. ip address ip-address mask
8. standby group-number ip [ip-address]
9. standby use-bia
10. standby group-number priority priority
11. standby group-number preempt [delay]
12. standby group-number track object-number [decrement priority-decrement]"
Connect the interface to the inside network and configure Network Address Translation (NAT).,"gigabitethernet 1/2/1, ip nat inside.

Step 6
Device(config-f)# ip nat inside"
Enable HSRP for VRF-Aware Dynamic NAT in a LAN-WAN topology.,"1. Configure VRF instance: `Device# configure terminal` and `Device(config)# vrf definition vrf1`.
2. Define tracking configuration: `Device(config)# track 10 interface fastethernet 1/1/1 line-protocol`.
3. Enable VRF on the interface: `Device(config-if)# vrf`."
"1. Configure the FastEthernet 1/1/1 interface with an IP address and enable IP NAT to redirect traffic to the ""pool1"" pool.","1. ip nat inside source list 1 pool pool1 overload
2. access-list 1 permit 203.0.113.0 255.255.255.240
3. interface FastEthernet 1/1/1
   ip address 198.51.100.1 255.255.255.240
   ip nat outside
4. interface FastEthernet 1/2/0
   vrf forwarding vrf1
   ip address 192.0.2.3 255.255.255.240
   standby 1 ip 192.0.2.1
   standby use-bia
   standby 1 priority 110
   standby 1 preempt
5. interface FastEthernet 1/2/1
   ip address 172.16.0.1"
Configuring Stateful Interchassis Redundancy,"- Pair of devices acting as backups for each other
- Identical application redundancy configurations on both devices (including NAT rules, redundancy group associations, and mapping IDs)"
Stateful interchassis redundancy and synchronization of SEQ/ACK information for NAT session during stateful switchover.,"Intrachassis redundancy cannot coexist with stateful interchassis redundancy; ISSU is not supported. When changing paired-address-pooling, bulk port-allocation, or NAT mode settings, follow the steps mentioned above."
Stateful Interchassis Redundancy Operation and configuration of redundant interfaces in pairs for hot standby functionality.,"Pairs of devices with one outgoing interface, redundancy groups (RGs), control link for status communication, data synchronization link for transferring stateful information."
Specify an optional alias for the protocol instance.,"name instance-name

Example: Device(config-red-app-prot)# name rg1

2. Requirement: Configure the interval between hello messages and the time before a device is declared to be down.
   Configuration: timers hellotime [msec] number holdtime [msec] number

Example: Device(config-red-app-prot)# timers hellotime 3 holdtime 10"
Enable BFD for failure detection on the control interface with the failover protocol.,Device(config-red-app-prot)# bfd
Configure stateful inter-chassis redundancy and create a redundancy group with specific parameters.,"1. Enable redundancy application.
2. Create a redundancy group (group number).
3. Set the group name for the redundancy group.
4. Configure preemption for the group members.
5. Set priority and failover threshold numbers.
6. Track object number with decrement or shutdown option.
7. Configure timers delay and reload seconds."
IP address translation for outside interface,ip nat outside
Enabling Virtual Fragmentation Reassembly (VFR) on an interface,ip virtual-reassembly
Configure Stateful Interchassis Redundancy for Network Address Translation (NAT),"Enable redundancy with the command ""redundancy redundancy-id [mapping-id map-id | overload | reversible | vrf name]"""
"Define a pool of IP addresses for NAT, enable NAT of the inside source address, and configure interchassis redundancy.","1. Configure global configuration mode:
   `configure terminal`
2. Define a pool of IP addresses for NAT:
   `ip nat pool <pool-name> <start-IP> <end-IP> <netmask | prefix-length>`
3. Enable NAT of the inside source address:
   `ip nat inside source list <access-list-number | access-list-name> pool <pool-name>`
4. Configure interchassis redundancy:
   `redundancy <redundancy-id> [mapping-id <map-id> | overload | reversible | vrf name]`"
Force active and standby RG reload in the redundancy application.,redundancy application reload group number [peer | self]
Displaying faults for a specified group or all groups.,"show redundancy application faults group [group-id]

2. Requirement: Displaying information about the interface manager (if-mgr) for a specified group or all groups.
   Configuration: show redundancy application if-mgr group [group-id]

3. Requirement: Displaying interface information associated with redundancy groups for the specified control interface.
   Configuration: show redundancy application control-interface group [group-id]

4. Requirement: Displaying interface information associated with redundancy groups for the specified data interface.
   Configuration: show redundancy application data-interface group [group-id]

Please note that there is no requirement or configuration provided for the last example (Step 9)."
Configure a redundant traffic interface and IP addressing on a GigabitEthernet interface.,"1. Configure the protocol for GigabitEthernet0/1/0 to be 1 (protocol 1).
2. Configure the data interface for GigabitEthernet0/1/2 on the device.
3. Set up a redundancy group with IP address 10.10.1.1 and exclusive decrement of 20 on GigabitEthernet0/0/1 (redundancy group 1).
4. Configure redundancy RII to be 40.
5. Configure the IP address for GigabitEthernet 0/1/5 as 10.1.1.2 with a subnet mask of 255.0.0.0.
6. Set the interface to use NAT outside and enable IP virtual-reassembly.
7. Enable negotiation auto on the interface.
8. Configure redundancy RII to be 200.
9. Create a redundancy group with IP address 10.1.1.200, exclusive decrement of 10, and enable it on GigabitEthernet0/1/5 (redundancy group 1)."
Configuring NAT with Stateful Interchassis Redundancy,"Device# configure terminal, Device(config)# ip nat pool VPN-18 10.10.0.0 10.10.255.255 netmask 255.255.0.0, Device(config)# ip nat inside source list acl-18 pool VPN-18 redundancy 2 mapping-id 152"
Interchassis Asymmetric Routing Support for Zone-Based Firewall and NAT,"1. LANs that use virtual IP addresses and virtual MAC (VMAC) addresses do not support asymmetric routing.
2. In Service Software Upgrade (ISSU) is not supported."
Asymmetric routing with separate asymmetric-routing interlink interface,Use the asymmetric-routing always-divert enable command to divert packets received from the standby RG to the active RG.
"Asymmetric routing must handle traffic that is to be diverted, ensuring proper mapping between RII and the interface, RG and applications, and RG and traffic flow. It should also avoid errors when multiple RGs are mapped to a single traffic flow.",The interlink interface must have sufficient bandwidth to support all the RG interlink traffic.
"The asymmetric-routing interlink interface must have a large enough bandwidth to handle all expected traffic, an IPv4 address configured on the interface, and its IP address must be reachable from the interface.",The asymmetric-routing interlink interface should be used for interlink traffic only and not shared with high availability control or data interfaces.
"Asymmetric Routing Support in Firewalls with stateful Layer 3 and Layer 4 inspection of Internet Control Message Protocol (ICMP), TCP, and UDP packets.","Intrabox asymmetric routing support for stateful inspection of TCP packets by verifying the window size and order of packets, requires state information from both directions of the traffic, limited inspection of ICMP information flows, verifies sequence number associated with the ICMP echo request and response, does not synchronize packet flows to the standby redundancy group (RG) until a session is established for that packet (three-way handshake for TCP, second packet for UDP, informational messages for ICMP), all ICMP flows are sent to the active RG. Stateless verification of policies for packets that do not belong to the ICMP, TCP, and UDP protocols."
"Asymmetric routing support with ALGs, Carrier Grade NAT (CGN), and virtual routing and forwarding (VRF) instances.","No configuration changes are required to enable asymmetric routing with ALGs, CGN, or VRF in Cisco IOS XE Release 3.16S."
MPLS diversion with label removal before asymmetric routing happens. VRF mapping between active and standby devices require no configuration changes.,VRF-Aware Asymmetric Routing in NAT with message digest (MD) 5 hash of the VPN routing and forwarding (VRF) name to identify the VRF and datapath in the active and standby devices.
"Interchassis Asymmetric Routing Support for Zone-Based Firewall and NAT, VRF-Aware Asymmetric Routing in NAT",(Information not provided in the text)
"- Specify an optional alias for the protocol instance using the ""name"" command.","- Example 1: Device(config-red-app)# name group1
- Example 2: Device(config-red-app-grp)# priority 100 failover threshold 50"
Enable preemption on the redundancy group and allow the standby device to preempt the active device when its priority is higher.,"1. Set preempt mode for the redundancy group: `Device(config-red-app-grp)# preempt`
2. Specify the priority value of a redundancy group that will be decremented if an event occurs on the tracked object: `Device(config-red-app-grp)# track object-number decrement number`"
Holdtime should be at least three times the hellotime.,timers hellotime 3 holdtime 10
Application Redundancy,Device(config-red)# application redundancy
Specifies the data interface that is used by the RG.,data interface-type interface-number
Asymmetric routing is enabled for each RG to establish an asymmetric flow diversion tunnel.,Device(config-if)# redundancy asymmetric-routing enable
Set primary IP address and mark the interface as connected to the outside.,"```
interface GigabitEthernet0/1/3
ip address ip-address mask
ip nat outside
```
Example:
```
Device(config-if)# ip address 10.1.1.1 255.255.255.0
Device(config-if)# ip nat outside
```"
Configure redundancy and enter redundancy configuration mode.,Device(config)# redundancy
Define a standard access list for the inside addresses that are to be translated.,access-list standard-acl-number permit source-address wildcard-bits
Configuring Redundant Interface Identifier and Asymmetric Routing on an Interface.,"1. Configure terminal (Device# configure terminal)
2. Enter interface configuration mode for GigabitEthernet 0/1/3 (Device(config)# interface GigabitEthernet 0/1/3)
3. Set redundancy rii to 600 (Device(config-if)# redundancy rii 600)
4. Set redundancy group to 1 with decrement value of 20 (Device(config-if)# redundancy group 1 decrement 20)
5. Enable asymmetric routing (Device(config-if)# redundancy asymmetric-routing enable)
6. Exit interface configuration mode (Device(config-if)# end)"
"BGP configuration with router-id, neighbor descriptions, and address family configurations for IPv4 and IPv4 VRF.","bgp router-id 1.1.1.1
neighbor 203.0.113.1 remote-as 223
neighbor 10.4.4.1 remote-as 577
address-family ipv4
network 203.0.113.1 mask 255.255.255.240
network 10.4.0.0 mask 255.255.0.0
network 209.165.200.224 mask 255.255.255.224
neighbor 203.0.113.1 activate
neighbor 10.4.4.1 activate
exit-address-family
!
address-family ipv4 vrf VRFA
bgp router-id 4.4.4.4
network 192.168.0.0 mask 255.255.255.248
network 10.4.0.0 mask 255.255.0.0
redistribute connected
redistribute static
neighbor 192.168.0.2 remote-as 65004
neighbor 192.168.0.2 fall-over bfd
neighbor 192.168.0.2 activate
neighbor 10.4.4.2 remote-as 577
neighbor 10.4.4.2 description PEERING to VASI Global intf
neighbor 10.4.4.2 activate
exit-address-family"
Configuring Asymmetric Routing with VRF,"1. Device(config)# redundancy
2. Device(config-red)# mode sso
3. Device(config-red)# application redundancy
4. Device(config-red-app)# group 1
5. Device(config-red-app-grp)# name RG1
6. Device(config-red-app-grp)# preempt
7. Device(config-red-app-grp)# priority 100 failover threshold 40
8. Device(config-red-app-grp)# control GigabitEthernet 1/0/3 protocol 1
9. Device(config-red-app-grp)# data GigabitEthernet 1/0/3
10. Device(config-red-app-grp)# asymmetric-routing interface GigabitEthernet 1/0/4
11. Device(config-red-app-grp)# asymmetric-routing always-divert enable
12. Device(config-red-app-grp)# exit
13. Device(config-red-app)# exit
14. Device(config-red)# exit
15. Device(config)# interface TenGigabitEthernet 2/0/0
16. Device(config-if)# ip vrf forwarding vrf001
17. Device(config-if)# ip address 10.0.0.1 255.255.255.0
18. Device(config-if)# ip nat inside"
Configure asymmetric routing using VRF on a device interface.,"1. Set the VRF forwarding for the interface: `ip vrf forwarding vrf001`
2. Assign an IP address to the interface: `ip address 192.0.2.1 255.255.255.0`
3. Set NAT outside for the interface: `ip nat outside`
4. Configure a static NAT pool:
   - Define the pool range: `ip nat pool pool-vrf001 209.165.201.1 209.165.201.30 prefix-length 24`
5. Configure dynamic NAT for the inside interface using the static pool:
   - Define the source list: `ip nat inside source list 1`
   - Apply the NAT pool: `pool pool-vrf001`
   - Set redundancy and mapping ID: `redundancy 1 mapping-id 1`"
VRF-Aware Interchassis Asymmetric Routing Support for Zone-Based Firewalls and NAT,There are no configuration changes for this feature.
"VRF-aware box-to-box high availability configuration must be the same on both active and standby devices. The VRF configuration must use the same VRF name at active and standby devices. NAT provides a hashed VRF name value in the high availability message, and sends it to active and standby devices.","The VRF-aware box-to-box high availability configuration is applied on both active and standby devices, using the same VRF name at both devices. NAT provides a hashed VRF name value in the high availability message to ensure that the corresponding local VRF ID is converted at the peer device by using the VRF name hash value-to-VRF ID mapping."
Configure Stateful Interchassis Redundancy and redundancy groups (RGs) on devices for failover conditions and seamless takeover of traffic forwarding services.,"Set up pairs of devices as hot standbys, configure redundancy on an interface basis, create redundancy groups (RGs), and enable Stateful Interchassis Redundancy at the application level without requiring physical failure for switchover."
Failover protocol integration with Bidirectional Forwarding Detection (BFD) in links.,Hello time and Hold time parameters for hello messages. Timers can be set in seconds or milliseconds using the timers hellotime msec command. Unique RII must be configured for each pair of redundant interfaces. Priority setting determines which device acts as active or standby.
Configure VRF-Aware NAT for WAN-WAN Topology with Symmetric Routing Box-to-Box Redundancy.,"Requirement: Configure VRF-Aware NAT for WAN-WAN Topology with Symmetric Routing Box-to-Box Redundancy.

Configuration:
1. Define a VRF named Mgmt-intf with IPv4 and IPv6 address families:
```
vrf definition Mgmt-intf
address-family ipv4
exit-address-family
!
address-family ipv6
exit-address-family
!
```
2. Define a VRF named VRFA with Route Distinguisher (RD) 100:1 and route targets export/import 100:1 for IPv4:
```
vrf definition VRFA
rd 100:1
route-target export 100:1
route-target import 100:1
address-family ipv4
exit-address-family
!
```
3. Configure redundancy with Single System Operation (SSO) mode and application redundancy group 1 with preemption and priority 120:
```
redundancy
mode sso
application redundancy
group 1
preempt
priority 120
control GigabitEthernet 0/0/1 protocol 1
data GigabitEthernet 0/0/2
!
```"
"BFD interval, Minimum RX, Multiplier for redundancy RII, and IP address configurations for different interfaces.","bfd interval 50, min_rx 50, multiplier 3, redundancy rii 2, ip addresses for interfaces GigabitEthernet 0/0/1, GigabitEthernet 0/0/2, GigabitEthernet 0/0/3, GigabitEthernet 0/0/4, and GigabitEthernet 0."
Configuring Stateful Interchassis Redundancy,NAT stateful interchassis redundancy
Integrating NAT with MPLS VPNs,"Multiple MPLS Virtual Private Networks (VPNs) can be configured on a single device to work together using the Network Address Translation (NAT) Integration feature. This allows for IP traffic differentiation between MPLS VPNs even if they use the same IP addressing scheme, enabling multiple MPLS VPN customers to share services while maintaining complete separation between each VPN."
